,구,오염물질,월,평균값
920,마포구,PM2.5,09,0.006777464788732395
921,마포구,PM2.5,10,0.012610719322990127
922,마포구,PM2.5,11,0.025157524613220815
923,마포구,PM2.5,12,0.02145492371705964
924,마포구,SO2,01,0.0033130904183535765
925,마포구,SO2,02,0.0033043478260869567
926,마포구,SO2,03,0.003102702702702703
927,마포구,SO2,04,0.0029199438202247192
928,마포구,SO2,05,0.002805668016194332
929,마포구,SO2,06,0.0030364656381486675
930,마포구,SO2,07,0.0028247282608695654
931,마포구,SO2,08,0.0026395663956639568
932,마포구,SO2,09,0.0023769338959212377
933,마포구,SO2,10,0.00270098730606488
934,마포구,SO2,11,0.0032692847124824683
935,마포구,SO2,12,0.003170963364993216
936,서대문구,CO,01,0.6504065040650406
937,서대문구,CO,02,0.6523952095808383
938,서대문구,CO,03,0.6567385444743935
939,서대문구,CO,04,0.4949860724233983
940,서대문구,CO,05,0.48933873144399465
941,서대문구,CO,06,0.4337988826815643
942,서대문구,CO,07,0.31775067750677505
943,서대문구,CO,08,0.3742155525238745
944,서대문구,CO,09,0.33781512605042013
945,서대문구,CO,10,0.46750348675034864
946,서대문구,CO,11,0.7140252454417952
947,서대문구,CO,12,0.6515912897822446
